Date, Open, High, Low, Close
03/26/20,5688.2,5815.73,5503.35,5815.73
03/25/20,5446.01,5741.42,5400.47,5688.2
03/24/20,4993.89,5446.01,4993.89,5446.01
03/23/20,5190.78,5194.83,4922.76,4993.89
03/20/20,5151.61,5419.3,5151.61,5190.78
03/19/20,5080.58,5181.04,4942.37,5151.61
03/18/20,5294.9,5294.9,5006.2,5080.58
03/17/20,5151.08,5308.95,4978.84,5294.9
03/16/20,5366.11,5366.11,4898.79,5151.08
03/13/20,5237.48,5696.48,5237.48,5366.11
03/12/2020,5876.52,5876.52,5237.48,5237.48
03/11/2020,5960.23,6088.5,5860.75,5876.52
03/10/2020,5965.77,6231.06,5927.85,5960.23
03/09/2020,6462.55,6462.55,5891.56,5965.77
03/06/2020,6705.43,6705.43,6431.44,6462.55
03/05/2020,6815.59,6834.12,6662.61,6705.43
03/04/2020,6718.2,6856.27,6700.23,6815.59
03/03/2020,6654.89,6846.28,6654.89,6718.2
03/02/2020,6580.61,6775.18,6496.01,6654.89
02/28/20,6796.4,6796.4,6460.08,6580.61
02/27/20,7042.47,7042.47,6729.99,6796.4
02/26/20,7017.88,7044.66,6871.85,7042.47
02/25/20,7156.83,7198.23,7004.94,7017.88
02/24/20,7403.92,7403.92,7114.45,7156.83
02/21/20,7436.64,7436.7,7370.63,7403.92
02/20/20,7457.02,7480.49,7436.64,7436.64
02/19/20,7382.01,7462.01,7382.01,7457.02
02/18/20,7433.25,7433.25,7353.41,7382.01
02/17/20,7409.13,7449.95,7409.13,7433.25
02/14/20,7452.03,7472.85,7403.69,7409.13
02/13/20,7534.37,7534.37,7406.94,7452.03
02/12/2020,7499.44,7547.65,7499.01,7534.37
02/11/2020,7446.88,7499.44,7499.44,7499.44
02/10/2020,7466.7,7466.7,7427.85,7446.88
02/07/2020,7504.79,7506.26,7441.14,7466.7
02/06/2020,7482.48,7533.57,7482.48,7504.79
02/05/2020,7439.82,7512.41,7408.45,7482.48
02/04/2020,7326.31,7442.08,7326.31,7439.82
02/03/2020,7286.01,7359.98,7285.16,7326.31
01/31/20,7381.96,7398.34,7275.03,7286.01
01/30/20,7483.57,7483.57,7357.62,7381.96
01/29/20,7480.69,7514.73,7462.21,7483.57
01/28/20,7412.05,7491.44,7410.37,7480.69
01/27/20,7585.98,7585.98,7392.83,7412.05
01/24/20,7507.67,7642.21,7507.59,7585.98
01/23/20,7571.92,7572.13,7503.17,7507.67
01/22/20,7610.7,7637.35,7563.52,7571.92
01/21/20,7651.44,7651.44,7550.47,7610.7
01/20/20,7674.56,7682.77,7639.62,7651.44
01/17/20,7609.81,7689.67,7609.81,7674.56
01/16/20,7642.8,7653.58,7595.31,7609.81
01/15/20,7622.35,7642.8,7609.44,7642.8
01/14/20,7617.6,7650.69,7588.81,7622.35
01/13/20,7587.85,7635.77,7582.51,7617.6
01/10/2020,7598.12,7631.96,7585.07,7587.85
01/09/2020,7574.93,7627.76,7574.93,7598.12
01/08/2020,7573.85,7579.48,7524.96,ERR
01/07/2020,7575.34,7604.59,7562.14,7573.85
01/06/2020,7622.4,7622.4,7528.08,7575.34
01/03/2020,7604.3,7626.41,7551,7622.4
01/02/2020,7542.44,7624.78,7542.44,7604.3
01/01/2020,7542.44,7587.41,7532.38,7542.44
12/31/19,7587.05,7587.41,7532.38,7542.44
12/30/19,7644.9,7644.9,7587.05,7587.05
12/27/19,7632.24,7665.4,7622.46,7644.9
12/26/19,7632.24,7632.24,7632.24,7632.24
12/25/19,7632.24,7636.16,7608.22,7632.24
12/24/19,7623.59,7636.16,7608.22,7632.24
12/23/19,7582.48,7628.2,7559.63,7623.59
12/20/19,7573.82,7599.52,7564.59,7582.48
12/19/19,7540.75,7575.9,7526.1,7573.82
12/18/19,7525.28,7557.05,7515.17,7540.75
12/17/19,7519.05,7537.66,7497.15,7525.28
12/16/19,7353.44,7552.65,7353.18,7519.05
12/13/19,7273.47,7429.04,7223.42,7353.44
12/12/2019,7216.25,7307.36,7216.08,7273.47
12/11/2019,7213.76,7250.67,7195.49,7216.25
12/10/2019,7233.9,7234.4,7137.84,7213.76
12/09/2019,7239.66,7255.73,7217.8,7233.9
12/06/2019,7137.85,7241.5,7137.85,7239.66
12/05/2019,7188.5,7194.78,7131.16,7137.85
12/04/2019,7158.76,7190.04,7139.91,7188.5
12/03/2019,7285.94,7285.94,7134.93,7158.76
12/02/2019,7346.53,7400.27,7277.02,7285.94
11/29/19,7416.43,7421.4,7346.53,7346.53
11/28/19,7429.78,7429.78,7385.32,7416.43
11/27/19,7403.14,7446,7400.38,7429.78
11/26/19,7396.29,7421.3,7384.96,7403.14
11/25/19,7326.81,7401.78,7326.81,7396.29
11/22/19,7238.55,7343.26,7238.47,7326.81
11/21/19,7262.49,7262.49,7197.33,7238.55
11/20/19,7323.8,7323.8,7219.11,7262.49
11/19/19,7307.7,7404.47,7307.7,7323.8
11/18/19,7302.94,7335.36,7293.4,7307.7
11/15/19,7292.76,7335.55,7243.15,7302.94
11/14/19,7351.21,7351.28,7292.76,7292.76
11/13/19,7365.44,7365.44,7301.71,7351.21
11/12/2019,7328.54,7390,7328.18,7365.44
11/11/2019,7359.38,7359.38,7258.46,7328.54
11/08/2019,7406.41,7406.83,7349.12,7359.38
11/07/2019,7396.65,7431.94,7396,7406.41
11/06/2019,7388.08,7398.78,7363.55,7396.65
11/05/2019,7369.69,7402.79,7369.61,7388.08
11/04/2019,7302.42,7392.73,7302.42,7369.69
11/01/2019,7248.38,7307.18,7248.38,7302.42
10/31/19,7330.78,7335.16,7245.23,7248.38
10/30/19,7306.26,7334.04,7278.18,7330.78
10/29/19,7331.28,7335.73,7264.74,7306.26
10/28/19,7324.47,7346.92,7291.59,7331.28
10/25/19,7328.25,7331.17,7279.78,7324.47
10/24/19,7260.74,7338.87,7255.46,7328.25
10/23/19,7212.49,7265.86,7194.13,7260.74
10/22/19,7163.64,7230.17,7146.69,7212.49
10/21/19,7150.57,7197.53,7139.38,7163.64
10/18/19,7182.32,7197.14,7146.11,7150.57
10/17/19,7167.95,7237.78,7162.04,7182.32
10/16/19,7211.64,7217.63,7149.84,7167.95
10/15/19,7213.45,7242.37,7176.67,7211.64
10/14/19,7247.08,7251.8,7194.21,7213.45
